Time,Price
2014/4/2,443.3
2014/4/3,448.8
2014/4/4,450
2014/4/5,460.8
2014/4/6,453.7
2014/4/7,454.2
2014/4/8,448.8
2014/4/9,442.5
2014/4/10,370
2014/4/11,416.3
2014/4/12,415
2014/4/13,404.2
2014/4/14,459
2014/4/15,515
2014/4/16,522.3
2014/4/17,500.7
2014/4/18,490.5
2014/4/19,505
2014/4/20,512.5
2014/4/21,497
2014/4/22,488
2014/4/23,490.2
2014/4/24,497.5
2014/4/25,460
2014/4/26,459
2014/4/27,441.5
2014/4/28,448
2014/4/29,434
2014/4/30,448.3
2014/5/1,459
2014/5/2,453.5
2014/5/3,440.5
2014/5/4,430.9
2014/5/5,427
2014/5/6,430
2014/5/7,438
2014/5/8,442.8
2014/5/9,446
2014/5/10,451.1
2014/5/11,432
2014/5/12,440
2014/5/13,437.3
2014/5/14,444
2014/5/15,442
2014/5/16,442.3
2014/5/17,442
2014/5/18,438.8
2014/5/19,439
2014/5/20,476
2014/5/21,477.6
2014/5/22,502.3
2014/5/23,509.5
2014/5/24,502.3
2014/5/25,566.2
2014/5/26,575
2014/5/27,570
2014/5/28,577
2014/5/29,573
2014/5/30,629
2014/5/31,635.6
2014/6/1,646.5
2014/6/2,669.5
2014/6/3,682.9
2014/6/4,652.3
2014/6/5,663.3
2014/6/6,655
2014/6/7,663
2014/6/8,662.3
2014/6/9,653.7
2014/6/10,653.6
2014/6/11,637.1
2014/6/12,590
2014/6/13,582.6
2014/6/14,554.4
2014/6/15,571
2014/6/16,580
2014/6/17,614.3
2014/6/18,611.5
2014/6/19,602
2014/6/20,601
2014/6/21,601.6
2014/6/22,607.8
2014/6/23,599.3
2014/6/24,587.3
2014/6/25,568.1
2014/6/26,577.9
2014/6/27,606.2
2014/6/28,600.1
2014/6/29,603.7
2014/6/30,640
2014/7/1,650.8
2014/7/2,647.9
2014/7/3,643.6
2014/7/4,632.2
2014/7/5,630
2014/7/6,633.3
2014/7/7,624
2014/7/8,618.5
2014/7/9,620.2
2014/7/10,610
2014/7/11,625.5
2014/7/12,626
2014/7/13,624
2014/7/14,622.4
2014/7/15,620.9
2014/7/16,621
2014/7/17,627.6
2014/7/18,627.5
2014/7/19,625.3
2014/7/20,618.9
2014/7/21,619.8
2014/7/22,612.6
2014/7/23,617.2
2014/7/24,600.3
2014/7/25,598
2014/7/26,594
2014/7/27,590.5
2014/7/28,586.4
2014/7/29,575
2014/7/30,551
2014/7/31,579
2014/8/1,594.9
2014/8/2,587.8
2014/8/3,582.1
2014/8/4,581.1
2014/8/5,575
2014/8/6,577.5
2014/8/7,582.3
2014/8/8,586.4
2014/8/9,583.3
2014/8/10,580
2014/8/11,572.5
2014/8/12,566
2014/8/13,549
2014/8/14,510
2014/8/15,506.2
2014/8/16,527.2
2014/8/17,501.3
2014/8/18,478.2
2014/8/19,490.3
2014/8/20,517
2014/8/21,515.9
2014/8/22,515.6
2014/8/23,500.1
2014/8/24,507.3
2014/8/25,502.5
2014/8/26,508.4
2014/8/27,511
2014/8/28,507.8
2014/8/29,507.5
2014/8/30,499
2014/8/31,483.4
2014/9/1,485.8
2014/9/2,476.8
2014/9/3,474
2014/9/4,489.2
2014/9/5,477.6
2014/9/6,481.3
2014/9/7,479.7
2014/9/8,470.4
2014/9/9,472.7
2014/9/10,477.3
2014/9/11,477.1
2014/9/12,471.8
2014/9/13,478.1
2014/9/14,476.5
2014/9/15,469.9
2014/9/16,465.1
2014/9/17,456.8
2014/9/18,427.2
2014/9/19,395.3
2014/9/20,411.6
2014/9/21,400.7
2014/9/22,397.7
2014/9/23,429.1
2014/9/24,420.4
2014/9/25,409.1
2014/9/26,403
2014/9/27,397.3
2014/9/28,374.7
2014/9/29,369.6
2014/9/30,387.1
2014/10/1,383
2014/10/2,371.7
2014/10/3,357.7
2014/10/4,328.7
2014/10/5,322.5
2014/10/6,323.8
2014/10/7,331
2014/10/8,350
2014/10/9,363.5
